"";"n";"lambda";"p";"df";"method";"cov_2norm"
"1";500;2;3;3;"PCA";23,2956632949033
"2";500;2;3;3;"SPCA";3,83879513379967
"3";500;2;3;5;"PCA";5,65937314201954
"4";500;2;3;5;"SPCA";3,43498279153902
"5";500;2;3;10;"PCA";2,80533597954278
"6";500;2;3;10;"SPCA";3,52856780360561
"7";500;3;3;3;"PCA";9,11776699897653
"8";500;3;3;3;"SPCA";1,5324684341553
"9";500;3;3;5;"PCA";2,16283204412137
"10";500;3;3;5;"SPCA";1,39569699768112
"11";500;3;3;10;"PCA";1,02789348348289
"12";500;3;3;10;"SPCA";1,38334875912226
"13";500;4;3;3;"PCA";5,27270921952208
"14";500;4;3;3;"SPCA";0,886969642720967
"15";500;4;3;5;"PCA";1,35133768377898
"16";500;4;3;5;"SPCA";0,809899204827277
"17";500;4;3;10;"PCA";0,618798995889724
"18";500;4;3;10;"SPCA";0,781467710175936
"19";500;5;3;3;"PCA";3,71846556317355
"20";500;5;3;3;"SPCA";0,603737802129046
"21";500;5;3;5;"PCA";0,803628121448755
"22";500;5;3;5;"SPCA";0,618582410753959
"23";500;5;3;10;"PCA";0,456461520863069
"24";500;5;3;10;"SPCA";0,59302125367435
"25";500;6;3;3;"PCA";3,62931754410456
"26";500;6;3;3;"SPCA";0,472771302908182
"27";500;6;3;5;"PCA";0,616280491940102
"28";500;6;3;5;"SPCA";0,442724933625415
"29";500;6;3;10;"PCA";0,321263326707898
"30";500;6;3;10;"SPCA";0,470214952880317
"31";500;7;3;3;"PCA";2,74554270821082
"32";500;7;3;3;"SPCA";0,38443162885322
"33";500;7;3;5;"PCA";0,515643041560257
"34";500;7;3;5;"SPCA";0,354665122013246
"35";500;7;3;10;"PCA";0,264995542672824
"36";500;7;3;10;"SPCA";0,373568758226556
"37";500;8;3;3;"PCA";2,24977755646563
"38";500;8;3;3;"SPCA";0,321047632055457
"39";500;8;3;5;"PCA";0,524440502124089
"40";500;8;3;5;"SPCA";0,327576538957317
"41";500;8;3;10;"PCA";0,227972768975206
"42";500;8;3;10;"SPCA";0,324692259937216
"43";500;9;3;3;"PCA";2,40680620176189
"44";500;9;3;3;"SPCA";0,283956698448035
"45";500;9;3;5;"PCA";0,388734667861548
"46";500;9;3;5;"SPCA";0,306501677648506
"47";500;9;3;10;"PCA";0,182516680232691
"48";500;9;3;10;"SPCA";0,259006552496561
"49";500;10;3;3;"PCA";2,07842046499381
"50";500;10;3;3;"SPCA";0,252546434878205
"51";500;10;3;5;"PCA";0,331425069887842
"52";500;10;3;5;"SPCA";0,247201200839502
"53";500;10;3;10;"PCA";0,157251357688249
"54";500;10;3;10;"SPCA";0,245924650946972
"55";500;11;3;3;"PCA";1,67337854322159
"56";500;11;3;3;"SPCA";0,224902096401031
"57";500;11;3;5;"PCA";0,275210216210361
"58";500;11;3;5;"SPCA";0,208880202500245
"59";500;11;3;10;"PCA";0,154553832174374
"60";500;11;3;10;"SPCA";0,228779246409244
"61";500;12;3;3;"PCA";1,37308766506138
"62";500;12;3;3;"SPCA";0,19932851637998
"63";500;12;3;5;"PCA";0,251441983874762
"64";500;12;3;5;"SPCA";0,186205180619698
"65";500;12;3;10;"PCA";0,134223768041053
"66";500;12;3;10;"SPCA";0,196136163539794
"67";500;13;3;3;"PCA";1,74003781664249
"68";500;13;3;3;"SPCA";0,190132084121508
